Text,"sentiment (-1 for pro-palestine, 0 for natural, 1 for pro-israel)"
"You are a kind human who has bravely stood up for our rights in Gaza and all of Palestine. I wish you great success always. with love, from Gaza 🇵🇸",-1
"Dear Bella Hadid, Please disassociate yourself with BDS brands like YSL, Dior and Chanel. These companies are complicit in murder of your people",-1
Aren't YSL complicits and they're contributing to the murder of Palestinians?,-1
?? What about boycotting??? Seriously,-1
"The Islamic Republic of Iran, by inciting Hamas, killed people in Gaza.",0
Beautiful humans support Palestine.,-1
From the river to the sea Palestine will be free 🇵🇸🙏🏻,-1
From the river to the sea Palestine should be free 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸❤️❤️,-1
All eyes on Rafah 💪,-1
Free palestine🇵🇸🇵🇸 forever even though trials keep coming my way,-1
From the river to the sea Palestine will be FREE INCHALAH 🇵🇸🇵🇸,-1
Meanwhile Israeli hostages that were released have spoken about how Palestinians baked birthday cakes for them.,-1
@justmadiha where did you get your information from? Hamas?,1
What's happening in Palestine is so unfair,-1
Is Hamas producing these clips for CNN?,1
This is soo inhuman,0
Don’t let Israel gaslight you into thinking this began on October 7th..,-1
Israel helped Gaza 2005!!! Your lies are no longer relevant...after 7.10 we just started to show you what Israel is!!!!,1
@kotayba_musleh I agree it became when the arabs came and tried to conquer a land they had no right too,1
@kotayba_musleh you're right... Gaza leadership has been launching rockets at Israeli civilians for decades by the thousands.,1
💔🇵🇸 Israel investigating itself again 🙄,-1
"And the hostages, how are they doing???",1
Where are the Hostages?????,1
How about the israel 🇮🇱 hostages??,1
Compare this to how Hamas has treated hostages,1
The most moral army in the world'.,-1
Kidnapping civilians and torturing them while being detained is called a war crime,1
And Israel dare to call themselves the most moral army in the world 😒,-1
All our prayers are with you 🇵🇸💔,-1
This thing is so messed up. Future generations will read of this and wonder why the rest of the world looked on while these atrocities were happening.,-1
@olajideideas thanks for being their voice ❤️#stopkillingtheinnocent,-1
@olajideideas nah. They’ll read about October 7th😉👍,1
The way the kids looks seeing their adults going through this is heart breaking. They dehumanized them to the core 😢,-1
Didn't Palestine elect Hamas into their government in 2006?,1
These dudes were openly calling for Genocide and now they’re mad they’re invited to take part in it. Nothing satisfies 😢,-1
Free Palestine 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🍉🇵🇸🇵🇸🇵🇸🍉🇵🇸🇵🇸🍉🍉🍉🍉🍉🍉🍉🇵🇸🍉🇵🇸🍉🇵🇸🍉🇵🇸,-1
Why aren’t you posting anything about the civilians who are being slaughtered in Gaza,-1
Indians always stands with our Jewish brothers and sisters....,1
They can try as hard as they like but Zionism is not Judaism. Period.,-1
The only democracy in the The East lol,1
Israel. Is the only existing apartheid on this earth.,-1
Only democracy in the middle east they say... 🤔,-1
So real jews would need to fight with zionists?,0
Can't wait to see them eat each others 😂😂..😂🔻🔻🔻,-1
I STAND WITH ISRAEL FOREVER 🇮🇱🇮🇱,1
"The curse of children and women in Gaza follows you to the grave, 75 years of occupation😮😮😮",-1
"Ridiculous, Everyone has right to live peacefully. Destroy Netanyahu and regain the Peace in middle east.",0
"I Love how the world is obsessed with internal Israeli politics 😂 While in Syria, Yamen, Iran civilization woke up to another oppressive regime, Israel 🇮🇱 is the only democracy that shines light in the dark middle east",1
Most documented genocide ever,-1
Under Hamas control - of course at risk ..,1
This is a genocide!!!!,-1
"The occupation killed our childhood and our memories. We did not even live our youth. All our days were between wars. There was never a beautiful day in our lives. I lost my friends. I had many dreams, but the occupation stole everything. Each of us has a name and a dream. Do not forget us. We are not numbers.",-1
CNN didn’t get the videos from the main markets full in gaza full with food? 🧐,1
The UN just posted a study that proves that there is not any hunger in Gaza,1
I can no longer hear about so much horror against Palestinians.,-1
"So there is no famine ?? I thought for the past several months, everyone has been starving in Gaza. This despite hundreds of aid trucks entering everyday and videos of Gazans posting to social media with tons of food. But @cnn - I get it, journalim is hard for you guys. It’s so easy to dunk their lies. Activism is easier.",1
This is what Zionism is,-1
Praying 🙏🏾 for he people of 🇵🇸,-1
Stop reporting lies! The UN said there are sufficient evidence that there is more then needed aid crossing in to Gaza if Hamas wouldn’t steal and kill its own people for food then there will be no famine!!!!,1
Crimes against humanity..Funded by the US.,-1
"Every single day since October 8, you guys have been saying that there was a famine and a hunger crisis. Can you report the actual correct thing? Maybe it’s time to start blaming Hamas for putting the people of Gaza in the situation.",1
Can they just return all the hostages so this can end?,0
And yet markets are up and running in Gaza 😂😂😂,1
Well if HAMAS would stop stealing the aid being sent and then making the people buy it back.. maybe there wouldn’t be a famine. Hamas is responsible for the destruction of Palestine and that is what the pro Palestine protestors have supported.,1
Stop this f**king bs!!!!! Stop spreading false information!! Hamas is stealing the aid. There is more than enough food in Gaza to feed x3 the population.,1
Explain to me how this isn't genocide,-1
Israel sends in aid daily. Daily!!! There a records of it with the UN. Daily for the last 8 months. Hamas takes the aid and hoards it or sells it. But you refuse to ensure people know this. You want to paint Israel with this evil brush. It’s such irresponsible reporting. And downright dangerous.,1
